;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV691;Wejherowo;;;;;;;;;;x;;;;
PROV690;Gdansk;;;;;;;;;;x;;;;
PROV694;Torun;;;;;;;;;;x;;;;
PROV696;Olsztyn;;;;;;;;;;x;;;;
PROV695;Królewiec;;;;;;;;;;x;;;;
PROV693;Elblag;;;;;;;;;;x;;;;
PROV698;Klapejda;;;;;;;;;;x;;;;
PROV709;Lomza;;;;;;;;;;x;;;;
PROV708;Plock;;;;;;;;;;x;;;;
PROV706;Warszawa;;;;;;;;;;x;;;;
PROV712;Lódz;;;;;;;;;;x;;;;
PROV699;Poznan;;;;;;;;;;x;;;;
PROV700;Bydgoszcz;;;;;;;;;;x;;;;
PROV697;Gabin;;;;;;;;;;x;;;;
PROV685;Katowice;;;;;;;;;;x;;;;
PROV689;Cieszyn;;;;;;;;;;x;;;;
PROV937;Brzesc Litewski;;;;;;;;;;x;;;;
PROV702;Lwów;;;;;;;;;;x;;;;
PROV951;Stryj;;;;;;;;;;x;;;;
PROV953;Stanislawów;;;;;;;;;;x;;;;
PROV955;Ploskirów;;;;;;;;;;x;;;;
PROV956;Równe;;;;;;;;;;x;;;;
PROV957;Kowel;;;;;;;;;;x;;;;
PROV940;Pinsk;;;;;;;;;;x;;;;
PROV939;Baranowicze;;;;;;;;;;x;;;;
PROV947;Postawy;;;;;;;;;;x;;;;
PROV360;Wilno;;;;;;;;;;x;;;;
PROV361;Kowno;;;;;;;;;;x;;;;
PROV362;Mariampol;;;;;;;;;;x;;;;
PROV363;Poniewiez;;;;;;;;;;x;;;;
PROV364;Szawle;;;;;;;;;;x;;;;
PROV365;Polaga;;;;;;;;;;x;;;;
PROV946;Polock;;;;;;;;;;x;;;;
PROV1007;Wielkie Luki;;;;;;;;;;x;;;;
PROV943;Smolensk;;;;;;;;;;x;;;;
PROV945;Witebsk;;;;;;;;;;x;;;;
PROV948;Mohylew;;;;;;;;;;x;;;;
PROV944;Orsza;;;;;;;;;;x;;;;
PROV949;Homel;;;;;;;;;;x;;;;
PROV941;Sluck;;;;;;;;;;x;;;;
PROV942;Mozyrz;;;;;;;;;;x;;;;
PROV959;Korosten;;;;;;;;;;x;;;;
PROV960;Zytomierz;;;;;;;;;;x;;;;
PROV958;Kijów;;;;;;;;;;x;;;;
PROV961;Czerkasy;;;;;;;;;;x;;;;
PROV954;Winnica;;;;;;;;;;x;;;;
PROV969;Bohopol;;;;;;;;;;x;;;;
PROV963;Poltawa;;;;;;;;;;x;;;;
PROV962;Czernichów;;;;;;;;;;x;;;;
PROV703;Kraków;;;;;;;;;;x;;;;
PROV714;Tarnów;;;;;;;;;;x;;;;
PROV704;Nowy Sacz;;;;;;;;;;x;;;;
PROV705;Przemysl;;;;;;;;;;x;;;;
PROV1016;Briansk;;;;;;;;;;x;;;;
PROV682;Vroclav;;;;;;;;;;x;;;;
PROV684;Opole;;;;;;;;;;x;;;;
PROV683;Valbrich;;;;;;;;;;x;;;;
PROV688;Opava;;;;;;;;;;x;;;;
PROV104;Astolfoburg;;;;;;;;;;x;;;;
PROV624;Železno;;;;;;;;;;x;;;;
PROV623;Šopron;;;;;;;;;;x;;;;
PROV642;Ráb;;;;;;;;;;x;;;;
PROV639;Jageršek;;;;;;;;;;x;;;;
PROV643;Stolny Belohrad;;;;;;;;;;x;;;;
PROV644;Kapošvár;;;;;;;;;;x;;;;
PROV640;Peckostolie;;;;;;;;;;x;;;;
PROV645;Keckemet;;;;;;;;;;x;;;;
PROV641;Pešc;;;;;;;;;;x;;;;
PROV646;Miškovec;;;;;;;;;;x;;;;
PROV648;Debrecin;;;;;;;;;;x;;;;
PROV950;Užhorod;;;;;;;;;;x;;;;
PROV651;Satmár;;;;;;;;;;x;;;;
PROV661;Bystrica;;;;;;;;;;x;;;;
PROV654;Kluž;;;;;;;;;;x;;;;
PROV2533;Mureš;;;;;;;;;;x;;;;
PROV659;Brašov;;;;;;;;;;x;;;;
PROV657;Sibin;;;;;;;;;;x;;;;
PROV652;Temešvár;;;;;;;;;;x;;;;
PROV647;Velky Varadin;;;;;;;;;;x;;;;
PROV653;Rešice;;;;;;;;;;x;;;;
PROV655;Belehrad;;;;;;;;;;x;;;;
